run_id,model,history_steps,local_grid,structured_output,max_steps,reached_goal,final_distance,min_distance,invalid_move_rate,loop_rate,fallback_rate
run_20260220_070904_7,gpt-oss:20b,0,True,False,60,True,0,0,0.26666666666666666,0.03333333333333333,0.23333333333333334
run_20260220_070904_8,gpt-oss:20b,0,True,False,60,True,0,0,0.18518518518518517,0.2222222222222222,0.37037037037037035
run_20260220_070904_9,gpt-oss:20b,0,True,False,60,False,4,4,0.6333333333333333,0.08333333333333333,0.21666666666666667
run_20260220_080333_1,gpt-oss:20b,5,True,False,60,True,0,0,0.21428571428571427,0.17857142857142858,0.4642857142857143
run_20260220_080333_10,gpt-oss:20b,5,True,False,60,True,0,0,0.3333333333333333,0.1,0.23333333333333334
run_20260220_080333_2,gpt-oss:20b,5,True,False,60,False,9,8,0.6833333333333333,0.06666666666666667,0.2
run_20260220_080333_3,gpt-oss:20b,5,True,False,60,True,0,0,0.35714285714285715,0.10714285714285714,0.35714285714285715
run_20260220_080333_4,gpt-oss:20b,5,True,False,60,False,10,8,0.6666666666666666,0.03333333333333333,0.18333333333333332
run_20260220_080333_5,gpt-oss:20b,5,True,False,60,False,4,2,0.4666666666666667,0.11666666666666667,0.23333333333333334
run_20260220_080333_6,gpt-oss:20b,5,True,False,60,True,0,0,0.5686274509803921,0.0784313725490196,0.19607843137254902
run_20260220_080333_7,gpt-oss:20b,5,True,False,60,False,10,8,0.7,0.06666666666666667,0.18333333333333332
run_20260220_080333_8,gpt-oss:20b,5,True,False,60,True,0,0,0.3076923076923077,0.15384615384615385,0.38461538461538464
run_20260220_080333_9,gpt-oss:20b,5,True,False,60,False,9,8,0.7833333333333333,0.08333333333333333,0.18333333333333332
run_20260220_090652_1,gpt-oss:20b,10,True,False,60,True,0,0,0.4117647058823529,0.09803921568627451,0.2549019607843137
run_20260220_090652_10,gpt-oss:20b,10,True,False,60,False,2,2,0.36666666666666664,0.13333333333333333,0.36666666666666664
run_20260220_090652_2,gpt-oss:20b,10,True,False,60,True,0,0,0.4857142857142857,0.11428571428571428,0.14285714285714285
run_20260220_090652_3,gpt-oss:20b,10,True,False,60,True,0,0,0.3793103448275862,0.06896551724137931,0.20689655172413793
run_20260220_090652_4,gpt-oss:20b,10,True,False,60,True,0,0,0.2222222222222222,0.19444444444444445,0.3055555555555556
run_20260220_090652_5,gpt-oss:20b,10,True,False,60,True,0,0,0.5,0.08333333333333333,0.2708333333333333
run_20260220_090652_6,gpt-oss:20b,10,True,False,60,False,2,2,0.5666666666666667,0.1,0.21666666666666667
run_20260220_090652_7,gpt-oss:20b,10,True,False,60,True,0,0,0.3333333333333333,0.08333333333333333,0.35
run_20260220_090652_8,gpt-oss:20b,10,True,False,60,True,0,0,0.3,0.1,0.35
run_20260220_090652_9,gpt-oss:20b,10,True,False,60,False,10,8,0.6666666666666666,0.05,0.21666666666666667
